(2, TUfast Racing Team e-Technology, München TU, DE, )
(3, Ecurie Aix Formula Student Team RWTH Aachen e.V., Aachen RWTH, DE, )
(4, NTHU Racing, Hsinchu NTHU, TW, )
(5, TU Darmstadt Racing Team e.V., Darmstadt TU, DE, )
(6, StarkStrom Augsburg, Augsburg UAS, DE, )
(7, Mainfranken Racing, Schweinfurt UAS, DE, )
(8, GreenTeam Uni Stuttgart, Stuttgart U, DE, )
(9, Fast Forest, Deggendorf IT, DE, )
(10, Revolve NTNU, Trondheim NTNU, NO, )
(11, Dynamis PRC, Milano PT, IT, )
(12, DHBW Engineering Stuttgart e.V., Stuttgart DHBW, DE, )
(13, Bodensee Racing Team, Konstanz UAS, DE, )
(14, TU Brno Racing, Brno TU, CZ, )
(15, e-gnition Hamburg, Hamburg TU, DE, )
(16, Team wob-racing., Wolfenbüttel UAS Ostfalia, DE, )
(17, BME Formula Racing Team (FSE), Budapest TU, HU, )
(18, KTH Formula Student, Stockholm KTH, SE, )
(19, Formula Student Team Delft, Delft TU, NL, )
(20, Elbflorace e.V., Dresden TU, DE, )
(21, Axlr8r Formula Racing, New Delhi IIT, IN, )
(22, UMD Racing e.V., Magdeburg OvGU, DE, )
(23, OWL Racing-Team, Lemgo TH OWL, DE, )
(24, HorsePower Hannover, Hannover U, DE, )
(25, Global-Formula-Racing (US), Corvallis OSU, US, )
(26, GET racing Dortmund e.V., Dortmund TU, DE, )
(27, Baltic Racing, Stralsund UAS, DE, )
(28, BCN eMotorsport, Barcelona UPC, ES, )
(29, Metropolia Motorsport, Helsinki UAS, FI, )
(30, University Racing Eindhoven, Eindhoven TU, NL, )
(31, Formula Student FEUP, Porto U, PT, )
(32, KA-RaceIng Electric, Karlsruhe KIT, DE, )
(33, e-Tech Racing, Barcelona EEBE UPC, ES, )
(34, AMZ Racing Team, Zürich ETH, CH, )
(35, Campus Tirol Motorsport, Innsbruck U, AT, )
(36, Racetech Racing Team e.V., Freiberg TU, DE, )
(37, CURE, Mannheim DHBW, DE, )
(38, Einstein Motorsport, Ulm UAS, DE, )
(39, E-Team Squadra Corse, Pisa U, IT, )
(40, E-Agle Trento Racing Team, Trento U, IT, )
(41, RUB Motorsport, Bochum U, DE, )
(42, Deefholt Dynamics e.V., Diepholz UAS, DE, )
(43, EPFL Racing Team, Lausanne EPFL, CH, )
(44, Herkules Racing Team Kassel, Kassel U, DE, )
(45, Formule ETS, Montréal ETS, CA, )
(46, Dynamics e.V., Regensburg OTH, DE, )
(47, Technikum Mittweida Motorsport, Mittweida UAS, DE, )
(48, High-Octane Motorsports e.V., Erlangen U, DE, )
(49, Schanzer Racing Electric e.V., Ingolstadt UAS, DE, )
(50, University of Strathclyde Motorsport, Glasgow U Strath, GB, )
(51, FST Lisboa, Lisboa IST, PT, )
(52, Superior Engineering FS Ljubljana, Ljubljana U, SI, )
(53, ARUS, Sevilla U, ES, )
(54, municHMotorsport, München UAS, DE, )
(55, Team Kratos Racing Electric, Pune PCCOE, IN, )
(56, Running Snail Racing Team, Amberg OTH, DE, )
(57, IRT electric, Osnabrück UAS, DE, )
(58, FaSTTUBe, Berlin TU, DE, )
(59, Chalmers Formula Student, Göteborg Chalmers, SE, )
(60, HAWKS Racing e.V., Hamburg UAS, DE, )
(61, Prom Racing, Athens TU, GR, )
(62, Formula Student Team Weingarten, Weingarten UAS, DE, )
(63, FS Team Tallinn Electric, Tallinn TU UAS, EE, )
(64, Blue Flash Mobility Concepts, Göttingen HAWK, DE, )
(65, Rennstall Esslingen, Esslingen UAS, DE, )
(66, Bremergy e.V., Bremen U, DE, )
(67, Kaiserslautern Racing Team, Kaiserslautern RPTU, DE, )
(68, PWR Racing Team, Wrocław TU, PL, )
(69, Strohm + Söhne e.V., Nürnberg GSO UAS, DE, )
(70, LA eRacing e.V., Landshut UAS, DE, )
(71, E-Team Duisburg-Essen, Duisburg U, DE, )
(72, Green Team Twente - Hydrogen, Enschede U Twente, NL, )
